Train data type,Eval set,Cased,Base model,Num epochs,Max seq length,ACCURACY,F1,,,,,,,,,,,,,,,,,,,,,
vanilla_fold1,test,uncased,^,3,500,0.66,0.65,,,,,,,,,,,,,,,,,,,,,
vanilla_fold2,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.71,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla_fold2,test,uncased,^,3,500,0.69,0.65,,,,,,,,,,,,,,,,,,,,,
vanilla_fold3,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.7,0.67,,,,,,,,,,,,,,,,,,,,,
vanilla_fold3,test,uncased,^,3,500,0.7,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla_fold4,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.76,0.75,,,,,,,,,,,,,,,,,,,,,
vanilla_fold4,test,uncased,^,3,500,0.7,0.69,,,,,,,,,,,,,,,,,,,,,
vanilla_fold5,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.72,0.68,,,,,,,,,,,,,,,,,,,,,
vanilla_fold5,test,uncased,^,3,500,0.75,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla_fold6,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.64,0.59,,,,,,,,,,,,,,,,,,,,,
vanilla_fold6,test,uncased,^,3,500,0.67,0.65,,,,,,,,,,,,,,,,,,,,,
vanilla_fold7,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.69,0.65,,,,,,,,,,,,,,,,,,,,,
vanilla_fold7,test,uncased,^,3,500,0.72,0.7,,,,,,,,,,,,,,,,,,,,,
vanilla_fold8,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.77,0.76,,,,,,,,,,,,,,,,,,,,,
vanilla_fold8,test,uncased,^,3,500,0.72,0.71,,,,,,,,,,,,,,,,,,,,,
vanilla_fold9,dev,uncased,LM-finetuned-all-cc-uncased,3,500,0.71,0.71,,,,,,,,,,,,,,,,,,,,,
vanilla_fold9,test,uncased,^,3,500,0.7,0.69,,,,,,,,,,,,,,,,,,,,,
